"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",74,154.537627875485,151.64728395689,75.3672453113105,74.138556515915,132.743298708891,130.671294390893,52.1294383609901,51.9197840114921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",147,277.250041833429,275.829405890725,143.4167941671,142.345611747088,243.173765448363,241.902201139393,101.9413316855,101.570310854698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",220,375.544218680521,378.020745060609,205.021349675763,205.139749087886,335.570003238952,336.888684332124,149.540968421138,149.050840855083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",293,455.039948330569,462.568579566014,260.938959082666,262.991651644142,413.35439684566,418.274940929941,195.028488459629,194.45614098156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",366,520.03118743616,532.942047988376,311.829589029532,316.328949992792,479.27767111082,488.267933745159,238.499529671314,237.87694300863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",439,573.790842038585,591.905460165269,358.267959092337,365.540322457851,535.548139058474,548.701472103915,280.045220989916,279.400000396847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",512,618.818897206543,641.663823325893,400.754981708174,410.979040170239,583.940315716625,601.10178454362,319.752449693029,319.108265141372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",585,657.025963479209,683.976730991364,439.727942260577,452.966213067334,625.881568538019,646.739405785135,357.704070767824,357.081073073075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",658,689.870128998567,720.249090923783,475.568565177768,491.794079782774,662.520473496027,686.672815225383,393.979100771108,393.394287938891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",731,718.475279483439,751.604259957999,508.610691528375,527.728461229455,694.78321420214,721.784406856488,428.652898903804,428.120455934381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",804,743.69753809213,778.940242410178,539.146570760987,561.011207117666,723.416300016637,752.810053408304,461.797345125704,461.328951722711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",877,766.197198472523,802.975826330058,567.432383926958,591.86252235234,749.023059264446,780.363986778834,493.481002821024,493.086113924835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",950,786.48296814738,824.287500020428,593.692982813283,620.482955225093,772.091498915098,804.959454792199,523.769289271443,523.45538435944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1023,804.947943014563,843.338152262285,618.12604822274,647.055219493504,793.017426520043,827.025661001095,552.724618514305,552.497432993171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1096,821.897343022314,860.499941743275,640.905646272268,671.745838647781,812.122413416554,846.921880160704,580.406540670703,580.270274386125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1169,837.568645904611,876.072835052406,662.185299034403,694.70664657113,829.668438700148,864.949287580244,606.871882435245,606.829386375081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1242,852.148070629375,890.299158666028,682.100657166976,716.076143998351,845.869602486536,881.360754540944,632.174875869977,632.227821784252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1315,865.782531628569,903.375255412025,700.771809817694,735.980722893755,860.901458737248,896.368905877455,656.367280849672,656.516314121134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1388,878.588684944594,915.460720979464,718.30528368559,754.535776805853,874.90854135773,910.152849159839,679.498501344894,679.743378818363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1461,890.659996671483,926.685717967322,734.795774814999,771.846708243884,888.010370546121,922.863771072936,701.615696363625,701.955410237819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1534,902.072086526644,937.156911148757,750.327648499611,788.00984087846,900.306280913298,934.629580045103,722.763885402362,723.196774511098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1607,912.88679755094,946.962156116606,764.976239276769,803.113246581285,911.879290099289,945.558763584327,742.986048579561,743.509898219282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1680,923.155307981626,956.174195897682,778.808978031673,817.237494427221,922.799199950596,955.743593485335,762.323221858404,762.935353162195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1753,932.920501119776,964.853620964135,791.886369579801,830.456329990827,933.12509105692,965.262789481268,780.814587677549,781.511937460688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1826,942.21877999258,973.051242205574,804.262841045166,842.837291034419,942.907321841727,974.183733771512,798.497561166792,799.276753120927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1899,951.081454196104,980.809978724928,815.987478468443,854.442265979427,952.189136624607,982.564312431402,815.40787218013,816.265280197072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1972,959.53580192208,988.166364223648,827.104666758266,865.328000281316,961.007958776578,990.454447149307,831.579643345269,832.511447708827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2045,967.605885619164,995.151749930105,837.654646028543,875.546555747004,969.396430552401,997.89736986475,847.045464357109,848.047701458893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2118,975.313178230536,1001.79326597296,847.673995582583,885.145727252539,977.383251489008,1004.93068387328,861.83646269386,862.905068884065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2191,982.677046439266,1008.11459038251,857.196055280525,894.169420877291,984.993854234063,1011.58724763772,875.982370945371,877.11322107164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2264,989.715124410332,1014.13656489746,866.251292697349,902.657997096777,992.250950338465,1017.89591133141,889.511590919114,890.700532063841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2337,996.443602311701,1019.87768871724,874.867623337323,910.648582329618,999.174971898001,1023.88213104772,902.451254687113,903.694135567836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2410,1002.87745285897,1025.35451498211,883.070690183691,918.175351820165,1005.78442933158,1029.56848137674,914.827282728418,916.119979185941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2483,1009.03060860158,1030.58196977234,890.88410800939,925.269786554673,1012.09620202347,1034.97508352103,926.66443931203,928.002876274381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2556,1014.91610094748,1035.5736092216,898.329677138868,931.960906652235,1018.12577503481,1040.11996321154,937.986385258443,939.366555534219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2629,1020.54617132714,1040.34182728278,905.427570715143,938.275483439582,1023.88743245551,1045.01935025919,948.815728209469,950.233708433687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2702,1025.93236002605,1044.89802418805,912.196498977242,944.238232208949,1029.39441544679,1049.68792956766,959.174070530214,960.626034556751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2775,1031.08557802849,1049.2527433874,918.653853578892,949.871987468323,1034.65905276745,1054.13905176569,969.082054959889,970.56428496862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2848,1036.01616593955,1053.41578334174,924.81583457002,955.197862321674,1039.6928684597,1058.38491023226,978.559408122299,980.068303684928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2921,1040.73394268152,1057.39628920115,930.697562307212,960.235393461441,1044.50667112083,1062.43669013924,987.624982001086,989.157067327537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2994,1045.24824632695,1061.20282831956,936.313176263172,965.002673115033,1049.11062855882,1066.304694183,996.296793479221,997.848723046265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",3067,1049.56796877025,1064.84345284088,941.675922430065,969.516469160016,1053.51433043528,1069.99844888472,1004.59206203713,1006.16062478238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",3140,1053.70158556597,1068.32575187192,946.798230735497,973.792334507695,1057.72684121869,1073.52679468289,1012.52724569896,1014.10936794641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",3213,1057.65718210711,1071.65689527062,951.691783850654,977.844706750796,1061.75674527203,1076.89796249583,1020.11807531188,1021.71082257956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",3286,1061.44247637056,1074.84367067331,956.367578415912,981.686998976856,1065.61218550495,1080.11963898015,1027.37958723897,1028.98016506514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",3359,1065.06483948197,1077.89251504114,960.835979646758,985.331682563812,1069.30089677552,1083.19902233514,1034.32615454219,1035.93190845334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",3432,1068.53131422151,1080.80954176172,965.106770167269,988.790362697285,1072.83023498105,1086.14287019143,1040.97151672785,1042.57993146006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",3505,1071.84863183794,1083.60056413199,969.189193774516,992.07384727934,1076.20720259478,1088.95754086339,1047.32880812362,1048.93750619772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",3578,1075.02322752927,1086.27111586402,973.091994763556,995.19220983549,1079.43847126233,1091.64902902992,1053.41058495231,1055.01732469359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",3651,1078.06125474788,1088.8264691534,976.823453352982,998.154846969646,1082.53040195099,1094.22299672967,1059.22885116468,1060.83152424857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",3724,1080.96859851265,1091.27165074906,980.391417679959,1000.97053086508,1085.48906305134,1096.68480040881,1064.79508309012,1066.39171168721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",3797,1083.75088786551,1093.6114563381,983.80333277349,1003.64745728277,1088.32024675311,1099.03951463606,1070.12025296136,1071.70898654738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",3870,1086.41350757316,1095.85046352504,987.06626686075,1006.19328946623,1091.02948395311,1101.29195299782,1075.21485136637,1076.79396325611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",3943,1088.96160915946,1097.99304363604,990.186935315487,1008.61519832355,1093.62205793238,1103.44668660106,1080.08890867818,1081.6567923357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",4016,1091.40012133752,1100.04337251658,993.171722517627,1010.91989922291,1096.10301698543,1105.50806054106,1084.7520155105,1086.30718068275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",4089,1093.73375990107,1102.0054404712,996.026701858681,1013.11368570635,1098.47718603826,1107.48020863275,1089.21334224517,1090.75441096049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",4162,1095.96703711843,1103.8830614624,998.757654097707,1015.20246039818,1100.74917752009,1109.36706665513,1093.48165767463,1095.00736014328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",4235,1098.10427063491,1105.67988166496,1001.37008424663,1017.19176335884,1102.92340149926,1111.17238431924,1097.56534680101,1099.07451725026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",4308,1100.14959199427,1107.39938745091,1003.86923714137,1019.08679811158,1105.00407518384,1112.8997361323,1101.47242783094,1102.96400030371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",4381,1102.10695475112,1109.04491287418,1006.26011183557,1020.89245554847,1106.99523185703,1114.55253130516,1105.21056840374,1106.68357254601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",4454,1103.98014219289,1110.61964671722,1008.54747493722,1022.61333590294,1108.9007292992,1116.13402283452,1108.78710108837,1110.24065794748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",4527,1105.77277472565,1112.12663912665,1010.73587299328,1024.25376895893,1110.72425775032,1117.64731585628,1112.20903818318,1113.64235603634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",4600,1107.48831692058,1113.56880787825,1012.82964401514,1025.8178326511,1112.46934744643,1119.09537536071,1115.48308585056,1116.89545608025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",4673,1109.13008425012,1114.94894431745,1014.83292822653,1027.3093701962,1114.13937573635,1120.48103334569,1118.61565761735,1120.00645064783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",4746,1110.70124953335,1116.26971899215,1016.7496781058,1028.73200588302,1115.73757388975,1121.80699547008,1121.61288727008,1122.98154857733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",4819,1112.20484908322,1117.53368700215,1018.58366778619,1030.08915963658,1117.26703354993,1123.07584726203,1124.4806411729,1125.82668737831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",4892,1113.64378859407,1118.74329308827,1020.33850187053,1031.38406046192,1118.73071287061,1124.29005992831,1127.22453003473,1128.54754509115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",4965,1115.02084876956,1119.90087647646,1022.01762371025,1032.61975886283,1120.13144235334,1125.45199580433,1129.84992015086,1131.14955162808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",5038,1116.33869070622,1121.00867549366,1023.62432319315,1033.7991383227,1121.47193043113,1126.56391347885,1132.36194414294,1133.63789961842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",5111,1117.59986104378,1122.06883196913,1025.16174407965,1034.92492592648,1122.75476879173,1127.62797262296,1134.76551122039,1136.0175547797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",5184,1118.8067968922,1123.08339543375,1026.63289092278,1035.99970219579,1123.98243745068,1128.64623854878,1137.06531698491,1138.2932658354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",5257,1119.9618305474,1124.05432712862,1028.04063560356,1037.02591020266,1125.1573095955,1129.62068652024,1139.265852799,1140.46957399911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",5330,1121.06719400374,1124.98350383315,1029.38772351041,1038.00586402148,1126.28165621639,1130.55320583529,1141.3714147382,1142.55082204409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",5403,1122.12502325885,1125.87272152217,1030.67677938784,1038.94175657378,1127.35765052958,1131.44560369714,1143.38611214594,1144.54116297637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",5476,1123.13736244981,1126.72369886063,1031.9103128778,1039.83566691498,1128.38737220462,1132.29960888855,1145.31387580911,1146.44456832867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",5549,1124.10616780704,1127.53808054399,1033.0907237744,1040.68956700859,1129.37281140549,1133.11687526253,1147.15846577127,1148.26483609179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",5622,1125.03331143292,1128.31744049171,1034.22030701095,1041.50532802888,1130.31587265417,1133.89898506751,1148.92347880016,1150.00559829927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",5695,1125.92058492149,1129.06328490117,1035.30125739657,1042.28472622955,1131.21837852526,1134.64745210956,1150.6123555248,1151.67032828049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",5768,1126.76970282079,1129.77705516952,1036.33567411804,1043.02944841288,1132.08207317929,1135.36372476165,1152.22838725731,1153.26234759676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",5841,1127.58230594643,1130.46013068426,1037.32556502118,1043.74109703043,1132.9086257423,1136.04918883527,1153.77472251344,1154.78483267413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",5914,1128.3599645527,1131.11383149214,1038.27285068503,1044.42119494413,1133.69963353853,1136.70517031771,1155.25437324544,1156.24082114634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",5987,1129.10418136718,1131.73942085856,1039.17936830082,1045.07118987378,1134.45662518294,1137.33293798373,1156.67022080018,1157.63321792047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",6060,1129.8163944948,1132.33810771305,1040.04687536683,1045.69245855495,1135.18106353979,1137.93370588854,1158.02502161476,1158.96480097745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",6133,1130.49798019694,1132.911048987,1040.87705320953,1046.28631062912,1135.87434855316,1138.50863574782,1159.32141266141,1160.23822691903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",6206,1131.15025555094,1133.45935185245,1041.67151034038,1046.85399228622,1136.53781995523,1139.0588392123,1160.56191665287,1161.45603627231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",6279,1131.77448099547,1133.9840758633,1042.43178565719,1047.39668967774,1137.1727598575,1139.58538003824,1161.74894701896,1162.62065856233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",6352,1132.37186276619,1134.48623500429,1043.15935149828,1047.91553211748,1137.78039523017,1140.08927615864,1162.88481266451,1163.73441716305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",6425,1132.94355522661,1134.96679965167,1043.85561655696,1048.41159508521,1138.36190027493,1140.5715016706,1163.97172251841,1164.79953393619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",6498,1133.49066309885,1135.42669844927,1044.52192866353,1048.88590304745,1138.918398695,1141.0329887309,1165.01178988306,1165.81813366736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",6571,1134.01424359836,1135.86682010383,1045.15957744157,1049.33943210846,1139.45096586752,1141.47462936742,1166.00703659316,1166.79224830828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",6644,1134.51530847694,1136.28801510283,1045.76979684458,1049.7731125033,1139.96063092242,1141.89727721262,1166.95939699219,1167.72382103362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",6717,1134.99482597778,1136.69109735854,1046.35376757899,1050.18783094407,1140.44837873167,1142.30174916054,1167.8707217348,1168.61471012043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",6790,1135.45372270651,1137.07684578119,1046.91261941899,1050.58443282929,1140.91515181299,1142.68882695169,1168.74278142265,1169.46669265809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",6863,1135.89288542175,1137.44600578443,1047.44743341841,1050.96372432595,1141.36185215148,1143.05925868894,1169.57727008135,1170.28146809609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",6936,1136.31316274869,1137.79929072593,1047.95924402451,1051.32647433269,1141.78934294297,1143.41376028749,1170.37580848522,1171.06066163672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",7009,1136.71536681891,1138.13738328609,1048.44904109831,1051.673416332,1142.19845026228,1143.75301686197,1171.13994733683,1171.80582747951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",7082,1137.10027483974,1138.46093678742,1048.91777184586,1052.00525013892,1142.58996465972,1144.07768405325,1171.87117030761,1172.51845192383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",7155,1137.46863059614,1138.77057645707,1049.36634266454,1052.32264355277,1142.96464268885,1144.38838929792,1172.57089694577,1173.19995633596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",7228,1137.82114588794,1139.06690063514,1049.79562090834,1052.62623391842,1143.32320836862,1144.68573304287,1173.2404854572,1173.85169998637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",7301,1138.15850190532,1139.35048193092,1050.20643657574,1052.91662960256,1143.66635458251,1144.97028990726,1173.88123536521,1174.47498276311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",7374,1138.48135054513,1139.62186832952,1050.59958392388,1053.19441139054,1143.99474441754,1145.24260979428,1174.49439005418,1175.07104776654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",7447,1138.79031567056,1139.88158425076,1050.97582301223,1053.46013380871,1144.30901244565,1145.50321895497,1175.08113920239,1175.6410837907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",7520,1139.08599431674,1140.13013156265,1051.33588117902,1053.71432637684,1144.60976595,1145.75262100613,1175.64262110891,1176.18622769618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",7593,1139.36895784437,1140.36799055117,1051.68045445326,1053.95749479483,1144.89758609851,1145.9912979043,1176.17992491909,1176.70756667939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",7666,1139.63975304383,1140.59562084839,1052.01020890541,1054.19012206768,1145.17302906693,1146.21971087773,1176.6940927532,1177.20614044251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",7739,1139.89890319179,1140.8134623207,1052.32578193939,1054.41266957246,1145.43662711357,1146.43830131827,1177.18612174245,1177.68294326874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",7812,1140.14690906236,1141.02193591877,1052.62778352854,1054.62557807064,1145.6888896079,1146.64749163469,1177.65696597645,1178.13892600681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",7885,1140.38424989478,1141.22144449105,1052.91679739799,1054.829268669,1145.93030401482,1146.84768606937,1178.10753836595,1178.57499796871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",7958,1140.61138431947,1141.41237356216,1053.19338215581,1055.02414373208,1146.16133683665,1147.03927147976,1178.53871242466,1178.99202874458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",8031,1140.82875124431,1141.59509207793,1053.45807237516,1055.21058774892,1146.38243451459,1147.22261808616,1178.95132397363,1179.39084993821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",8104,1141.03677070273,1141.76995311835,1053.71137962966,1055.38896815674,1146.59402429142,1147.39808018741,1179.34617277153,1179.77225682675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
