"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",74,412.664897029523,225.41869127658,138.775181631022,133.414719013707,236.587779004935,203.688781490297,227.843072889787,130.03278447335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",147,246.351399569556,284.447372611551,149.02326348001,153.598673054281,256.053922828354,252.518220814739,174.717380053789,110.435327162071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",220,1109.43188956314,518.392183909615,285.944904688936,273.994395158253,513.415553306946,459.70595017344,391.919883515007,225.496481112841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",293,-978.281676844447,140.515249350695,32.2326438489735,34.9794740763877,92.8667558705492,110.185189473396,-160.08116135125,-80.6191293262147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",366,6825.90793819679,1640.22636718138,1076.16223953079,923.706067905674,2027.17379934639,1475.02143159283,2471.48581590565,1040.01799515978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",439,28103.2277620695,7252.16924167324,4105.45138765232,3912.66852948047,7110.00261452413,6497.01043105772,6463.37934741664,3817.69800422429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",512,38492.0931988423,12111.1143864827,6089.32640210919,6047.72101953244,10774.9118568751,10713.7082308477,7277.38920742343,4889.30713390926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",585,41105.1008688095,14929.7711607464,7273.54635149009,6976.0467504519,13813.2333228198,13053.0329063831,8338.59151465045,5041.3124186105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",658,40399.8358040054,16358.5830008831,8085.54940156574,7225.33944576189,16155.9923943925,14153.5341869368,8684.45558849782,4819.4954955915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",731,48652.4585187759,18942.9371684022,10080.9431287558,8324.02551462955,20547.0466992631,16348.2033427318,12155.4793700725,5931.0502992423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",804,70372.8277837272,25260.8163876037,14046.0568820247,11426.8394529355,27913.8074132157,21892.5261754275,16985.0638643593,8715.83181432947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",877,81091.5481989793,30560.493753646,16929.6733208819,13614.8881929533,33666.8451080806,26421.7363800438,18613.2866687691,9786.14146273027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",950,84013.2896796963,33659.9798480207,18987.694455127,14570.325256328,38625.5534189031,28952.8107315688,20473.4549442194,9938.78902135338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1023,83585.1586734881,35265.9748373748,20646.1188427355,14832.7779487555,42730.924128296,30169.6304284077,21600.8038097865,9716.89231005735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
