"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",74,154.13273675164,151.315066504503,75.3455442124448,73.7415904997545,133.133628784819,130.303080885874,52.256003899577,51.5450961993728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",147,277.07023290699,275.618204081092,143.329243902821,142.039524226902,243.427679853918,241.726243102098,102.1453111567,101.33373321953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",220,376.057950447599,378.3856949747,204.899506339969,205.386222527318,335.473424845485,337.419394652254,149.817922863345,149.433826186338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",293,456.617392247644,463.9570720532,260.875411300972,264.226968173167,412.913524115672,419.98600358413,195.412558082014,195.910358798366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",366,522.984127992669,535.787146638138,311.965729553624,318.964779560739,478.651767690597,491.596536023457,239.058134403878,240.825686170718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",439,578.396616591502,596.621859910445,358.783480255066,369.964531836532,534.999052745694,554.051914674522,280.874214587622,284.239564817572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",512,625.337449885864,648.645021037128,401.859009165289,417.556509836456,583.795558171439,608.848454393658,320.971721118372,326.209269794459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",585,665.707369979102,693.593563223753,441.651647240372,462.039666192787,626.507213614648,657.229275499933,359.453690701172,366.789713660245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",658,700.962415604173,732.849604228887,478.558742123666,503.68490513455,664.301222055697,700.227647370725,396.415785340059,406.033539096519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",731,732.218515799314,767.512871010243,512.924500441185,542.737533928983,698.109109263305,738.702473975284,431.946854494125,443.991218704349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",804,760.331369197349,798.458624406703,545.047129337402,579.419703464303,728.672643970044,773.367896885648,466.129466973279,480.711149008172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",877,785.956524174071,826.383722326589,575.185091825809,613.932722577248,756.583380589897,804.817808736536,499.040376920165,516.239737664929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",950,809.598701531751,851.843457204954,603.562521763767,646.459033199695,782.313520916109,833.546282898871,530.75096162354,550.621493368979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1023,831.645233633229,875.280303053369,630.373870289432,677.164017002224,806.240170722108,859.964506817211,561.327624942506,583.899105971711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1096,852.39361167978,897.047132453088,655.78795197714,706.19762243622,828.664691662532,884.414871055596,590.832168999885,616.113521552985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1169,872.073148952359,917.425602707349,679.951419275754,733.695846896134,849.828030062049,907.18252858409,619.322138427252,647.304018886914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1242,890.860852063113,936.640785798495,702.991773168846,759.782073485985,869.923304445194,928.505146811085,646.851137978818,677.508281249786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1315,908.89355861007,954.872750010081,725.019960552187,784.568274912162,889.10541553803,948.58100699151,673.469126121484,706.76246443612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1388,926.277331737765,972.265616675451,746.132603852047,808.156102757995,907.498835735046,967.575642567618,699.222686312985,735.101261887569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1461,943.094767215177,988.935140004648,766.413950187068,830.637873379918,925.203807186798,985.627367157616,724.155276520402,762.557967099719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1534,959.410449212279,1004.97440878571,785.937547599774,852.097458400291,942.301273892531,1002.85188703887,748.307461193188,789.164533340276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1607,975.275117730286,1020.45847564267,804.767685613688,872.611089948123,958.856802392645,1019.34612377447,771.717125306125,814.951630688798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1680,990.728903372737,1035.44804408923,822.960641778955,892.248087897945,974.923699048311,1035.19138748401,794.4196715902,839.948700562853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1753,1005.80379387803,1049.99239412466,840.565761014839,911.071517547089,990.545495669753,1050.45601126917,816.448202905386,864.184007887102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1826,1020.52552134413,1064.13170679082,857.626387042999,929.138783915339,1005.75792393731,1065.19753888609,837.833690875614,887.684690988362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1899,1034.91500697052,1077.89891201927,874.180666965907,946.502169134895,1020.5904881595,1079.46454107247,858.60513166896,910.476809306195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1972,1048.98946598691,1091.32115758792,890.262246339232,963.209318109415,1035.06771732313,1093.29812376933,878.78969002279,932.585389020606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2045,1062.76325480377,1104.42097692168,905.900869685309,979.303677533438,1049.21016116075,1106.73318055158,898.412832265722,954.034466691078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2118,1076.24851894467,1117.21721757484,921.122899335091,994.824892770767,1063.03518336476,1119.79943263481,917.498449312313,974.847130993502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2191,1089.45568955301,1129.72577950286,935.951763740745,1009.8091666405,1076.55759206009,1132.52229258273,936.068970325648,995.045562640539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2264,1102.39386402339,1141.96020216533,950.408344876217,1024.28958377801,1089.79014330421,1144.92358162148,954.145467809165,1014.65107256467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2337,1115.07109743179,1153.93213144706,964.511313031122,1038.29640388507,1102.7439417739,1157.02212541854,971.747754749604,1033.68413844015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2410,1127.49462523032,1165.65169109737,978.277416171422,1051.8573268641,1115.42875921454,1168.83424896647,988.894474430691,1052.16443961789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2483,1139.67103564697,1177.12777830283,991.721730060699,1064.99773254278,1127.85328881203,1180.37418769268,1005.60318347964,1070.11089054339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2556,1151.6064009706,1188.36829884537,1004.8578744913,1077.74089743482,1140.02534770644,1191.65442902023,1021.89042866311,1087.54167272449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2629,1163.30637849658,1199.380354333,1017.69820024475,1090.1081907469,1151.95203842974,1202.68599618431,1037.77181791044,1104.47426531298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
